time,x,y,theta
1782920781.4631221,0.356860,-1.322941,0.885465
1782920781.513283,0.356858,-1.322941,0.885452
1782920781.5601065,0.356849,-1.322941,0.885386
1782920781.6041276,0.356849,-1.322941,0.885386
1782920781.6539795,0.356854,-1.322941,0.885420
1782920781.7200294,0.356854,-1.322941,0.885418
1782920781.7631974,0.356854,-1.322941,0.885418
1782920781.8123395,0.356845,-1.322941,0.885352
1782920781.8630986,0.356845,-1.322941,0.885352
1782920781.9141357,0.356856,-1.322941,0.885434
1782920781.9590728,0.356851,-1.322941,0.885400
1782920782.003549,0.356851,-1.322941,0.885400
1782920782.0527828,0.356854,-1.322941,0.885418
1782920782.1025717,0.356854,-1.322941,0.885418
1782920782.1635432,0.356848,-1.322941,0.885379
1782920782.2131221,0.356841,-1.322941,0.885323
1782920782.2631269,0.356841,-1.322941,0.885324
1782920782.312302,0.356840,-1.322941,0.885316
1782920782.3585577,0.356845,-1.322941,0.885356
1782920782.4031825,0.356845,-1.322941,0.885356
1782920782.4540827,0.356836,-1.322941,0.885285
1782920782.5187929,0.356841,-1.322941,0.885324
1782920782.5633821,0.356841,-1.322941,0.885324
1782920782.6131551,0.356841,-1.322941,0.885324
1782920782.66413,0.356841,-1.322941,0.885324
1782920782.7131097,0.356841,-1.322941,0.885324
1782920782.7640944,0.356841,-1.322941,0.885324
1782920782.8032398,0.356841,-1.322941,0.885324
1782920782.8526857,0.356841,-1.322941,0.885324
1782920782.9242966,0.356841,-1.322941,0.885324
1782920782.9637377,0.356841,-1.322941,0.885324
1782920783.0141182,0.356841,-1.322941,0.885324
1782920783.0631344,0.356841,-1.322941,0.885324
1782920783.11411,0.356841,-1.322941,0.885324
1782920783.1641214,0.356841,-1.322941,0.885324
1782920783.2031898,0.356841,-1.322941,0.885324
1782920783.2533894,0.356841,-1.322941,0.885324
1782920783.3031688,0.356841,-1.322941,0.885324
1782920783.3632095,0.356841,-1.322941,0.885324
1782920783.4132404,0.356841,-1.322941,0.885324
1782920783.462268,0.356841,-1.322941,0.885324
1782920783.5140944,0.356841,-1.322941,0.885324
1782920783.5641391,0.356841,-1.322941,0.885324
1782920783.6032012,0.356841,-1.322941,0.885324
1782920783.6537216,0.356841,-1.322941,0.885324
1782920783.7238095,0.356841,-1.322941,0.885324
1782920783.7637005,0.356841,-1.322941,0.885324
1782920783.8141248,0.356841,-1.322941,0.885324
1782920783.864147,0.356841,-1.322941,0.885324
1782920783.9141166,0.356841,-1.322941,0.885324
1782920783.9641266,0.356841,-1.322941,0.885324
1782920784.0032263,0.356841,-1.322941,0.885324
1782920784.0538094,0.356841,-1.322941,0.885324
1782920784.123294,0.356841,-1.322941,0.885324
1782920784.1637313,0.356841,-1.322941,0.885324
1782920784.2133017,0.356841,-1.322941,0.885324
1782920784.260144,0.356841,-1.322941,0.885324
1782920784.314159,0.356841,-1.322941,0.885324
1782920784.3641183,0.356841,-1.322941,0.885324
1782920784.4032214,0.356841,-1.322941,0.885324
1782920784.4536252,0.356841,-1.322941,0.885324
1782920784.5242229,0.356841,-1.322941,0.885324
1782920784.5635152,0.356841,-1.322941,0.885324
1782920784.6132264,0.356841,-1.322941,0.885324
1782920784.6641464,0.356841,-1.322941,0.885324
1782920784.71418,0.356841,-1.322941,0.885324
1782920784.7641678,0.356841,-1.322941,0.885324
1782920784.8032234,0.356841,-1.322941,0.885324
1782920784.853788,0.356841,-1.322941,0.885324
1782920784.9040966,0.356841,-1.322941,0.885324
1782920784.9673364,0.356857,-1.322940,0.885444
1782920785.0181766,0.356869,-1.322940,0.885533
1782920785.0601563,0.356864,-1.322940,0.885500
1782920785.1101613,0.356859,-1.322940,0.885461
1782920785.1601343,0.356858,-1.322940,0.885455
1782920785.2062442,0.356848,-1.322941,0.885378
1782920785.2567859,0.356856,-1.322940,0.885440
1782920785.299671,0.356861,-1.322940,0.885471
1782920785.3501642,0.356858,-1.322940,0.885448
1782920785.4161463,0.356864,-1.322940,0.885499
1782920785.4601603,0.356863,-1.322940,0.885492
1782920785.5091593,0.356867,-1.322940,0.885517
1782920785.559135,0.356868,-1.322940,0.885527
1782920785.6071332,0.356861,-1.322940,0.885472
1782920785.6568975,0.356867,-1.322940,0.885518
1782920785.6991923,0.356860,-1.322940,0.885469
1782920785.7696187,0.356861,-1.322940,0.885473
1782920785.816336,0.356860,-1.322940,0.885465
1782920785.8601303,0.356860,-1.322940,0.885465
1782920785.90915,0.356861,-1.322940,0.885478
1782920785.9634871,0.356861,-1.322940,0.885478
1782920786.0051317,0.356861,-1.322940,0.885478
1782920786.0548735,0.356861,-1.322940,0.885478
1782920786.1037133,0.356861,-1.322940,0.885478
1782920786.1648386,0.356861,-1.322940,0.885478
1782920786.2141583,0.356861,-1.322940,0.885478
1782920786.2641673,0.356861,-1.322940,0.885478
1782920786.3141367,0.356861,-1.322940,0.885478
1782920786.3651247,0.356861,-1.322940,0.885478
1782920786.405162,0.356861,-1.322940,0.885478
1782920786.4538465,0.356861,-1.322940,0.885478
1782920786.5032763,0.356861,-1.322940,0.885478
1782920786.5644095,0.356861,-1.322940,0.885478
1782920786.6133358,0.356861,-1.322940,0.885478
1782920786.6641538,0.356861,-1.322940,0.885478
1782920786.7141716,0.356861,-1.322940,0.885478
1782920786.7641234,0.356861,-1.322940,0.885478
1782920786.8051517,0.356861,-1.322940,0.885478
1782920786.8538678,0.356861,-1.322940,0.885478
1782920786.9231975,0.356861,-1.322940,0.885478
1782920786.964806,0.356861,-1.322940,0.885478
